Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.61,0.3220699650487132
75% Corpus,5,symmetric,0.9099999999999999,0.360176750806283
75% Corpus,5,symmetric,symmetric,0.30922467537383624
75% Corpus,5,asymmetric,0.01,0.22913510157796266
75% Corpus,5,asymmetric,0.31,0.3311494027893597
75% Corpus,5,asymmetric,0.61,0.37476520835898547
75% Corpus,5,asymmetric,0.9099999999999999,0.38554571983487157
75% Corpus,5,asymmetric,symmetric,0.305987392409851
75% Corpus,6,0.01,0.01,0.26410624302083613
75% Corpus,6,0.01,0.31,0.30763369722103595
75% Corpus,6,0.01,0.61,0.3593019762927549
75% Corpus,6,0.01,0.9099999999999999,0.3802212554443199
75% Corpus,6,0.01,symmetric,0.2518115883969336
75% Corpus,6,0.31,0.01,0.2949422333142255
75% Corpus,6,0.31,0.31,0.3366359290436238
75% Corpus,6,0.31,0.61,0.34956817585787964
75% Corpus,6,0.31,0.9099999999999999,0.39329113994217707
75% Corpus,6,0.31,symmetric,0.31208651977294427
75% Corpus,6,0.61,0.01,0.31419629340423266
75% Corpus,6,0.61,0.31,0.3648111638723859
75% Corpus,6,0.61,0.61,0.3737629304084205
75% Corpus,6,0.61,0.9099999999999999,0.3982341540538635
75% Corpus,6,0.61,symmetric,0.35248071386073915
75% Corpus,6,0.9099999999999999,0.01,0.3190176806624947
75% Corpus,6,0.9099999999999999,0.31,0.3336072878788052
75% Corpus,6,0.9099999999999999,0.61,0.35778612431649154
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3455762397188123
75% Corpus,6,0.9099999999999999,symmetric,0.3244874514218572
75% Corpus,6,symmetric,0.01,0.2845588408675113
75% Corpus,6,symmetric,0.31,0.3203166468945784
75% Corpus,6,symmetric,0.61,0.3484077386263156
75% Corpus,6,symmetric,0.9099999999999999,0.3865033666768414
75% Corpus,6,symmetric,symmetric,0.3098715421566104
75% Corpus,6,asymmetric,0.01,0.2574572978208248
75% Corpus,6,asymmetric,0.31,0.33878660551496326
75% Corpus,6,asymmetric,0.61,0.35745775934201024
75% Corpus,6,asymmetric,0.9099999999999999,0.3464780739829975
75% Corpus,6,asymmetric,symmetric,0.2845106904373779
75% Corpus,7,0.01,0.01,0.2674361079444399
75% Corpus,7,0.01,0.31,0.32312064474664404
75% Corpus,7,0.01,0.61,0.3789310840667586
75% Corpus,7,0.01,0.9099999999999999,0.3624690034015799
75% Corpus,7,0.01,symmetric,0.28972520133035834
75% Corpus,7,0.31,0.01,0.27976015210255734
75% Corpus,7,0.31,0.31,0.3142067268597213
75% Corpus,7,0.31,0.61,0.321508553202305
75% Corpus,7,0.31,0.9099999999999999,0.3691511034821853
75% Corpus,7,0.31,symmetric,0.2881951314306854
75% Corpus,7,0.61,0.01,0.3161206896167674
75% Corpus,7,0.61,0.31,0.3399378176226587
75% Corpus,7,0.61,0.61,0.351105459890809
75% Corpus,7,0.61,0.9099999999999999,0.35166164513134435
75% Corpus,7,0.61,symmetric,0.34519844702794084
75% Corpus,7,0.9099999999999999,0.01,0.3063866870362861
75% Corpus,7,0.9099999999999999,0.31,0.3288185406647524
75% Corpus,7,0.9099999999999999,0.61,0.3548389995200915
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.35232441231166195
75% Corpus,7,0.9099999999999999,symmetric,0.31921894960612407
75% Corpus,7,symmetric,0.01,0.28006855544161857
75% Corpus,7,symmetric,0.31,0.3117258390646694
75% Corpus,7,symmetric,0.61,0.4060178316614045
75% Corpus,7,symmetric,0.9099999999999999,0.36733456445104895
75% Corpus,7,symmetric,symmetric,0.28624377849676347
75% Corpus,7,asymmetric,0.01,0.28356380168292644
75% Corpus,7,asymmetric,0.31,0.35295225538388114
75% Corpus,7,asymmetric,0.61,0.390071330832643
75% Corpus,7,asymmetric,0.9099999999999999,0.369365341474499
75% Corpus,7,asymmetric,symmetric,0.3321889979251385
75% Corpus,8,0.01,0.01,0.281607240920754
75% Corpus,8,0.01,0.31,0.347706160648978
75% Corpus,8,0.01,0.61,0.39692324084922803
75% Corpus,8,0.01,0.9099999999999999,0.3969412873841435
75% Corpus,8,0.01,symmetric,0.29138101347350265
75% Corpus,8,0.31,0.01,0.27761256329396283
75% Corpus,8,0.31,0.31,0.3329794333443372
75% Corpus,8,0.31,0.61,0.37266970425157286
75% Corpus,8,0.31,0.9099999999999999,0.400155506764422
75% Corpus,8,0.31,symmetric,0.2939876653922991
75% Corpus,8,0.61,0.01,0.3197984149202495
75% Corpus,8,0.61,0.31,0.35181789928454954
75% Corpus,8,0.61,0.61,0.36311911833913063
75% Corpus,8,0.61,0.9099999999999999,0.3267860157042287
75% Corpus,8,0.61,symmetric,0.33777745077182975
75% Corpus,8,0.9099999999999999,0.01,0.30756441794384737
75% Corpus,8,0.9099999999999999,0.31,0.32925449788101496
75% Corpus,8,0.9099999999999999,0.61,0.3325261722233054
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3158882044319916
75% Corpus,8,0.9099999999999999,symmetric,0.309401730471393
75% Corpus,8,symmetric,0.01,0.29703986178768615
75% Corpus,8,symmetric,0.31,0.3170622287744874
75% Corpus,8,symmetric,0.61,0.4015044546715768
75% Corpus,8,symmetric,0.9099999999999999,0.41846677902924756
75% Corpus,8,symmetric,symmetric,0.27748431420487635
75% Corpus,8,asymmetric,0.01,0.29265941632891923
75% Corpus,8,asymmetric,0.31,0.3788612377777254
75% Corpus,8,asymmetric,0.61,0.4103708233846024
75% Corpus,8,asymmetric,0.9099999999999999,0.41058940194361104
75% Corpus,8,asymmetric,symmetric,0.3193886502806793
75% Corpus,9,0.01,0.01,0.30038266521942125
75% Corpus,9,0.01,0.31,0.38178511333251947
75% Corpus,9,0.01,0.61,0.40506821931602377
75% Corpus,9,0.01,0.9099999999999999,0.38643771064909666
75% Corpus,9,0.01,symmetric,0.3209703155981615
75% Corpus,9,0.31,0.01,0.2912220412250802
75% Corpus,9,0.31,0.31,0.32209471574812315
75% Corpus,9,0.31,0.61,0.3859986274719039
75% Corpus,9,0.31,0.9099999999999999,0.4201978446900214
75% Corpus,9,0.31,symmetric,0.3261589752729234
75% Corpus,9,0.61,0.01,0.3181355680359578
75% Corpus,9,0.61,0.31,0.35968888816712874
75% Corpus,9,0.61,0.61,0.3403381473288437
75% Corpus,9,0.61,0.9099999999999999,0.3612799225819917
75% Corpus,9,0.61,symmetric,0.363862269752321
75% Corpus,9,0.9099999999999999,0.01,0.31444090097763305
75% Corpus,9,0.9099999999999999,0.31,0.3315783103047203
75% Corpus,9,0.9099999999999999,0.61,0.34480696854817183
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.37086540681096397
75% Corpus,9,0.9099999999999999,symmetric,0.33720703120070206
75% Corpus,9,symmetric,0.01,0.2939884286214063
75% Corpus,9,symmetric,0.31,0.3439213654526703
75% Corpus,9,symmetric,0.61,0.40016046252959053
75% Corpus,9,symmetric,0.9099999999999999,0.39834771119524254
75% Corpus,9,symmetric,symmetric,0.33220981677132766
75% Corpus,9,asymmetric,0.01,0.31833645612884487
75% Corpus,9,asymmetric,0.31,0.4020945960409103
75% Corpus,9,asymmetric,0.61,0.4043600984815553
75% Corpus,9,asymmetric,0.9099999999999999,0.3999574592501423
75% Corpus,9,asymmetric,symmetric,0.35802809829354154
75% Corpus,10,0.01,0.01,0.2821426946344415
75% Corpus,10,0.01,0.31,0.3430887651553102
75% Corpus,10,0.01,0.61,0.41485548337816064
75% Corpus,10,0.01,0.9099999999999999,0.42708006789327396
75% Corpus,10,0.01,symmetric,0.29039276618754783
75% Corpus,10,0.31,0.01,0.2686780674462684
75% Corpus,10,0.31,0.31,0.3039730022362284
75% Corpus,10,0.31,0.61,0.39947725006491563
75% Corpus,10,0.31,0.9099999999999999,0.4512147602321347
75% Corpus,10,0.31,symmetric,0.31264620397691056
75% Corpus,10,0.61,0.01,0.3199295843319333
75% Corpus,10,0.61,0.31,0.3937870617716606
75% Corpus,10,0.61,0.61,0.4062224775743342
75% Corpus,10,0.61,0.9099999999999999,0.4008788735540708
75% Corpus,10,0.61,symmetric,0.37830675808684716
75% Corpus,10,0.9099999999999999,0.01,0.3316216249147571
75% Corpus,10,0.9099999999999999,0.31,0.3752257366659007
75% Corpus,10,0.9099999999999999,0.61,0.3851978930286324
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.41388631853292657
75% Corpus,10,0.9099999999999999,symmetric,0.3561016474170716
75% Corpus,10,symmetric,0.01,0.29002439835379856
75% Corpus,10,symmetric,0.31,0.350998659805143
75% Corpus,10,symmetric,0.61,0.4276564475371475
75% Corpus,10,symmetric,0.9099999999999999,0.426839228520434
75% Corpus,10,symmetric,symmetric,0.29802714784748513
75% Corpus,10,asymmetric,0.01,0.3107011628265455
75% Corpus,10,asymmetric,0.31,0.373424189323999
75% Corpus,10,asymmetric,0.61,0.4365738772760194
75% Corpus,10,asymmetric,0.9099999999999999,0.39079421463304254
75% Corpus,10,asymmetric,symmetric,0.3293198189737804
100% Corpus,2,0.01,0.01,0.1794823468866808
100% Corpus,2,0.01,0.31,0.2122781527371703
100% Corpus,2,0.01,0.61,0.2182555799931305
100% Corpus,2,0.01,0.9099999999999999,0.21715238830617126
100% Corpus,2,0.01,symmetric,0.20946399638009588
100% Corpus,2,0.31,0.01,0.19905574874469406
100% Corpus,2,0.31,0.31,0.23046489853824165
100% Corpus,2,0.31,0.61,0.2147932571271544
100% Corpus,2,0.31,0.9099999999999999,0.2147932571271544
100% Corpus,2,0.31,symmetric,0.21479325712715436
100% Corpus,2,0.61,0.01,0.21702585602696461
100% Corpus,2,0.61,0.31,0.2040338871036459
100% Corpus,2,0.61,0.61,0.21296152465941842
100% Corpus,2,0.61,0.9099999999999999,0.21296152465941842
100% Corpus,2,0.61,symmetric,0.2154193678248581
100% Corpus,2,0.9099999999999999,0.01,0.2279485851204638
100% Corpus,2,0.9099999999999999,0.31,0.21288402526280864
100% Corpus,2,0.9099999999999999,0.61,0.2235660280114723
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.221531882494369
100% Corpus,2,0.9099999999999999,symmetric,0.22153188249436898
100% Corpus,2,symmetric,0.01,0.2390454074593645
100% Corpus,2,symmetric,0.31,0.22684577340330275
100% Corpus,2,symmetric,0.61,0.21296152465941842
100% Corpus,2,symmetric,0.9099999999999999,0.21296152465941842
100% Corpus,2,symmetric,symmetric,0.21726573634195828
100% Corpus,2,asymmetric,0.01,0.1719161200400513
100% Corpus,2,asymmetric,0.31,0.15490684341638578
100% Corpus,2,asymmetric,0.61,0.17235700453642142
100% Corpus,2,asymmetric,0.9099999999999999,0.17235700453642144
100% Corpus,2,asymmetric,symmetric,0.1845176298209284
100% Corpus,3,0.01,0.01,0.28425571997100224
100% Corpus,3,0.01,0.31,0.276805526015779
100% Corpus,3,0.01,0.61,0.270126737963478
100% Corpus,3,0.01,0.9099999999999999,0.2623759677064943
100% Corpus,3,0.01,symmetric,0.27707311692314485
100% Corpus,3,0.31,0.01,0.26695386732093535
100% Corpus,3,0.31,0.31,0.3079655394527994
100% Corpus,3,0.31,0.61,0.28159931798707505
100% Corpus,3,0.31,0.9099999999999999,0.25612843506914945
100% Corpus,3,0.31,symmetric,0.2856745196104081
100% Corpus,3,0.61,0.01,0.28808590293806463
100% Corpus,3,0.61,0.31,0.27804012401214623
100% Corpus,3,0.61,0.61,0.290105036286805
100% Corpus,3,0.61,0.9099999999999999,0.28760935317970726
100% Corpus,3,0.61,symmetric,0.2675530989803346
100% Corpus,3,0.9099999999999999,0.01,0.2671822345847512
100% Corpus,3,0.9099999999999999,0.31,0.25820801077206856
100% Corpus,3,0.9099999999999999,0.61,0.2718640396969601
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.2716544191007249
100% Corpus,3,0.9099999999999999,symmetric,0.2612918395229346
100% Corpus,3,symmetric,0.01,0.27742593019255596
100% Corpus,3,symmetric,0.31,0.285146556260006
100% Corpus,3,symmetric,0.61,0.2827792145317695
100% Corpus,3,symmetric,0.9099999999999999,0.3188459425562184
100% Corpus,3,symmetric,symmetric,0.2960978502891504
100% Corpus,3,asymmetric,0.01,0.22332365375645055
100% Corpus,3,asymmetric,0.31,0.23456952722964364
100% Corpus,3,asymmetric,0.61,0.3046651829841807
100% Corpus,3,asymmetric,0.9099999999999999,0.3058924421129798
100% Corpus,3,asymmetric,symmetric,0.2422506636140708
100% Corpus,4,0.01,0.01,0.27537440820796033
100% Corpus,4,0.01,0.31,0.3230577706209114
100% Corpus,4,0.01,0.61,0.3170817807681061
100% Corpus,4,0.01,0.9099999999999999,0.3163884491544824
100% Corpus,4,0.01,symmetric,0.2948560256064079
100% Corpus,4,0.31,0.01,0.2906550350381256
100% Corpus,4,0.31,0.31,0.34565038402786996
100% Corpus,4,0.31,0.61,0.3371144397299197
100% Corpus,4,0.31,0.9099999999999999,0.3013028778071567
100% Corpus,4,0.31,symmetric,0.2995053096772774
100% Corpus,4,0.61,0.01,0.3195971448190138
100% Corpus,4,0.61,0.31,0.3580892617823628
100% Corpus,4,0.61,0.61,0.34379915306834125
100% Corpus,4,0.61,0.9099999999999999,0.35544109355633613
100% Corpus,4,0.61,symmetric,0.3530247762744349
100% Corpus,4,0.9099999999999999,0.01,0.33441865170358476
100% Corpus,4,0.9099999999999999,0.31,0.3636046042591824
100% Corpus,4,0.9099999999999999,0.61,0.3582534483413933
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.36371773813714203
100% Corpus,4,0.9099999999999999,symmetric,0.36302286689589325
100% Corpus,4,symmetric,0.01,0.31061531873513387
100% Corpus,4,symmetric,0.31,0.3429129822456761
100% Corpus,4,symmetric,0.61,0.31839585440027685
100% Corpus,4,symmetric,0.9099999999999999,0.3205083767406415
100% Corpus,4,symmetric,symmetric,0.30646393493132534
100% Corpus,4,asymmetric,0.01,0.28659793668577704
100% Corpus,4,asymmetric,0.31,0.3226024103801664
100% Corpus,4,asymmetric,0.61,0.3048371702064002
100% Corpus,4,asymmetric,0.9099999999999999,0.3046969416237798
100% Corpus,4,asymmetric,symmetric,0.32077081970487437
100% Corpus,5,0.01,0.01,0.28096763044271783
100% Corpus,5,0.01,0.31,0.3294957878585866
100% Corpus,5,0.01,0.61,0.34705784089220854
100% Corpus,5,0.01,0.9099999999999999,0.31542471115385984
100% Corpus,5,0.01,symmetric,0.29983166478978684
100% Corpus,5,0.31,0.01,0.3080487164616222
100% Corpus,5,0.31,0.31,0.3273971792299344
100% Corpus,5,0.31,0.61,0.3607263509184945
100% Corpus,5,0.31,0.9099999999999999,0.4038137302351603
100% Corpus,5,0.31,symmetric,0.28811397825360174
100% Corpus,5,0.61,0.01,0.33079176556112244
100% Corpus,5,0.61,0.31,0.36987280197347455
100% Corpus,5,0.61,0.61,0.3753450028714791
100% Corpus,5,0.61,0.9099999999999999,0.3626865272136768
100% Corpus,5,0.61,symmetric,0.3622092225006059
100% Corpus,5,0.9099999999999999,0.01,0.3238803302411599
100% Corpus,5,0.9099999999999999,0.31,0.32783557016695986
100% Corpus,5,0.9099999999999999,0.61,0.3473040734844184
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.3426303387158667
100% Corpus,5,0.9099999999999999,symmetric,0.3539479345226806
100% Corpus,5,symmetric,0.01,0.2971085656560743
100% Corpus,5,symmetric,0.31,0.316318176843598
100% Corpus,5,symmetric,0.61,0.3584394032768372
100% Corpus,5,symmetric,0.9099999999999999,0.2795569959984947
100% Corpus,5,symmetric,symmetric,0.2838770229409421
100% Corpus,5,asymmetric,0.01,0.2434139854588771
100% Corpus,5,asymmetric,0.31,0.315521218210577
100% Corpus,5,asymmetric,0.61,0.3762492939647265
100% Corpus,5,asymmetric,0.9099999999999999,0.3762016819742825
100% Corpus,5,asymmetric,symmetric,0.3080318887353041
100% Corpus,6,0.01,0.01,0.2673391059867318
100% Corpus,6,0.01,0.31,0.3195541433062273
100% Corpus,6,0.01,0.61,0.3433066020097342
100% Corpus,6,0.01,0.9099999999999999,0.40855559537382474
100% Corpus,6,0.01,symmetric,0.2853520035065233
100% Corpus,6,0.31,0.01,0.3169277209798113
100% Corpus,6,0.31,0.31,0.38197036908727294
100% Corpus,6,0.31,0.61,0.3738251280391584
100% Corpus,6,0.31,0.9099999999999999,0.3794593605627837
100% Corpus,6,0.31,symmetric,0.34335492460204414
100% Corpus,6,0.61,0.01,0.3045372865415756
100% Corpus,6,0.61,0.31,0.3610319295232925
100% Corpus,6,0.61,0.61,0.3954087089064973
100% Corpus,6,0.61,0.9099999999999999,0.4202424297827931
100% Corpus,6,0.61,symmetric,0.33485403528059215
100% Corpus,6,0.9099999999999999,0.01,0.31197562527356376
100% Corpus,6,0.9099999999999999,0.31,0.31667457737108023
100% Corpus,6,0.9099999999999999,0.61,0.3189517818654916
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.33374017396854855
100% Corpus,6,0.9099999999999999,symmetric,0.33180596271040247
100% Corpus,6,symmetric,0.01,0.3118610584622979
100% Corpus,6,symmetric,0.31,0.34205468048962845
100% Corpus,6,symmetric,0.61,0.3746119347482702
100% Corpus,6,symmetric,0.9099999999999999,0.3831142818726105
100% Corpus,6,symmetric,symmetric,0.31105320252194224
100% Corpus,6,asymmetric,0.01,0.2675853122949116
100% Corpus,6,asymmetric,0.31,0.298022577562314
100% Corpus,6,asymmetric,0.61,0.367020202033812
100% Corpus,6,asymmetric,0.9099999999999999,0.39613295364696044
100% Corpus,6,asymmetric,symmetric,0.31800322437187395
100% Corpus,7,0.01,0.01,0.2603992802620558
100% Corpus,7,0.01,0.31,0.32176167332206074
100% Corpus,7,0.01,0.61,0.3748240765875018
100% Corpus,7,0.01,0.9099999999999999,0.37882925604388895
100% Corpus,7,0.01,symmetric,0.308141337835634
100% Corpus,7,0.31,0.01,0.260079758941001
100% Corpus,7,0.31,0.31,0.31121806011160313
100% Corpus,7,0.31,0.61,0.34136934506101874
100% Corpus,7,0.31,0.9099999999999999,0.39080085395522485
100% Corpus,7,0.31,symmetric,0.29164118417617596
100% Corpus,7,0.61,0.01,0.31485826007741524
100% Corpus,7,0.61,0.31,0.3329291604367935
100% Corpus,7,0.61,0.61,0.3812931380728441
100% Corpus,7,0.61,0.9099999999999999,0.3725216017537075
100% Corpus,7,0.61,symmetric,0.33228602935364776
100% Corpus,7,0.9099999999999999,0.01,0.3024416058539337
100% Corpus,7,0.9099999999999999,0.31,0.3329061632229468
100% Corpus,7,0.9099999999999999,0.61,0.3476101321971577
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3694930077054294
100% Corpus,7,0.9099999999999999,symmetric,0.3330278423795509
100% Corpus,7,symmetric,0.01,0.3030164021502638
100% Corpus,7,symmetric,0.31,0.322535299793078
100% Corpus,7,symmetric,0.61,0.3924250409532825
100% Corpus,7,symmetric,0.9099999999999999,0.415288053956565
100% Corpus,7,symmetric,symmetric,0.27072935453546376
100% Corpus,7,asymmetric,0.01,0.27869166152619174
100% Corpus,7,asymmetric,0.31,0.33684197395249366
100% Corpus,7,asymmetric,0.61,0.39892889382112384
100% Corpus,7,asymmetric,0.9099999999999999,0.4071861135022155
100% Corpus,7,asymmetric,symmetric,0.3197932384723107
100% Corpus,8,0.01,0.01,0.288884383667734
100% Corpus,8,0.01,0.31,0.34582357436288425
100% Corpus,8,0.01,0.61,0.3682073114543108
100% Corpus,8,0.01,0.9099999999999999,0.41079882280818925
100% Corpus,8,0.01,symmetric,0.3195701524723134
100% Corpus,8,0.31,0.01,0.29594738480818134
100% Corpus,8,0.31,0.31,0.32344270033626343
100% Corpus,8,0.31,0.61,0.3818087609225004
100% Corpus,8,0.31,0.9099999999999999,0.40343580074982344
100% Corpus,8,0.31,symmetric,0.31673292175804235
100% Corpus,8,0.61,0.01,0.3398176353247596
100% Corpus,8,0.61,0.31,0.3799821136174354
100% Corpus,8,0.61,0.61,0.3983160286856152
100% Corpus,8,0.61,0.9099999999999999,0.37189838641645073
100% Corpus,8,0.61,symmetric,0.35230504362633647
100% Corpus,8,0.9099999999999999,0.01,0.31265995324338614
100% Corpus,8,0.9099999999999999,0.31,0.34385427930600554
100% Corpus,8,0.9099999999999999,0.61,0.3604912829636802
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3529561322486761
100% Corpus,8,0.9099999999999999,symmetric,0.32318499352878105
100% Corpus,8,symmetric,0.01,0.29776693912304564
100% Corpus,8,symmetric,0.31,0.3457120137833274
100% Corpus,8,symmetric,0.61,0.38399004528152714
100% Corpus,8,symmetric,0.9099999999999999,0.4015440003539591
100% Corpus,8,symmetric,symmetric,0.3123655328588668
100% Corpus,8,asymmetric,0.01,0.28866832738976933
100% Corpus,8,asymmetric,0.31,0.38656979642506056
100% Corpus,8,asymmetric,0.61,0.40907389527228954
100% Corpus,8,asymmetric,0.9099999999999999,0.43107800778834027
100% Corpus,8,asymmetric,symmetric,0.3510078800586764
100% Corpus,9,0.01,0.01,0.291892531616305
100% Corpus,9,0.01,0.31,0.3865477672017525
100% Corpus,9,0.01,0.61,0.4039769679646243
100% Corpus,9,0.01,0.9099999999999999,0.3856936933036353
100% Corpus,9,0.01,symmetric,0.3515596534996069
100% Corpus,9,0.31,0.01,0.28677949284536813
100% Corpus,9,0.31,0.31,0.3240639420056911
100% Corpus,9,0.31,0.61,0.363667635932105
100% Corpus,9,0.31,0.9099999999999999,0.41070671090718824
